"sbjCode","condit","distortion","Pattern_Token","Category","Response","Corr","rt","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"sub108","high","med","new_med",2,2,1,895,-21,1,14,-11,-10,-15,-6,7,8,-14,-10,15,4,-9,-16,-3,-18,10
"sub293","mixed","high","new_high",2,1,0,9373,-21,2,-10,1,-16,-12,-4,18,5,-5,-9,15,-3,-10,12,1,12,-3
"sub21","low","med","new_med",1,3,0,4086,-21,3,8,18,3,4,-5,-9,5,8,-19,-12,-16,5,0,-8,7,10
"sub108","high","high","old",2,1,0,758,-21,3,8,-4,-11,-15,1,3,7,-15,-2,23,3,-6,-14,-3,-14,-8
"sub321","mixed","high","old",2,1,0,407,-21,3,-12,10,-6,-10,7,-12,-14,5,19,-7,-8,-4,-11,6,-2,2
"sub242","medium","high","new_high",2,2,1,796,-21,4,-13,-6,14,17,12,8,-11,10,-14,1,-23,11,10,9,-13,-17
"sub231","high","high","new_high",2,2,1,261,-21,4,23,23,17,9,-14,-2,6,8,6,12,19,-15,22,-2,3,5
"sub229","low","med","new_med",2,2,1,1116,-21,5,2,-11,4,-14,-2,-7,14,-14,14,-6,-11,2,-4,-2,-8,-2
"sub252","mixed","high","new_high",2,2,1,1440,-21,7,-18,-11,-10,-16,-4,15,-16,1,-6,-4,18,0,9,17,-3,12
"sub369","mixed","med","old",1,3,0,1652,-21,7,-8,-12,-8,6,8,5,-2,6,3,-12,10,10,-8,-2,12,-18
"sub330","low","low","old",3,2,0,4766,-21,8,-4,11,9,-12,-12,-11,6,3,-10,6,-13,-8,1,13,8,13
"sub263","high","med","new_med",1,1,1,1343,-21,8,10,11,5,5,-1,-16,-11,-8,-8,-4,-13,7,5,-8,3,8
"sub245","low","low","old",1,2,0,3529,-21,9,1,2,4,11,-3,4,-12,-9,-8,7,-2,-1,10,0,-2,-15
"sub116","high","high","new_high",2,3,0,4233,-21,10,-7,12,11,-11,-9,3,-13,4,-2,0,6,6,4,-2,11,12
