"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"105.mixed","105","mixed",1,"prototype","dot_cond4_sub105.txt",1,1,"105_mixed_1_296"
"105.mixed","105","mixed",1,"old","dot_cond4_sub105.txt",99,0.929292929292929,"105_mixed_1_296"
"105.mixed","105","mixed",1,"new_low","dot_cond4_sub105.txt",3,1,"105_mixed_1_296"
"105.mixed","105","mixed",1,"new_med","dot_cond4_sub105.txt",6,1,"105_mixed_1_296"
"105.mixed","105","mixed",1,"new_high","dot_cond4_sub105.txt",9,1,"105_mixed_1_296"
"105.mixed","105","mixed",2,"prototype","dot_cond4_sub105.txt",1,1,"105_mixed_2_294"
"105.mixed","105","mixed",2,"old","dot_cond4_sub105.txt",99,0.747474747474748,"105_mixed_2_294"
"105.mixed","105","mixed",2,"new_low","dot_cond4_sub105.txt",3,1,"105_mixed_2_294"
"105.mixed","105","mixed",2,"new_med","dot_cond4_sub105.txt",6,0.833333333333333,"105_mixed_2_294"
"105.mixed","105","mixed",2,"new_high","dot_cond4_sub105.txt",9,0.555555555555556,"105_mixed_2_294"
"105.mixed","105","mixed",3,"prototype","dot_cond4_sub105.txt",1,0,"105_mixed_3_298"
"105.mixed","105","mixed",3,"old","dot_cond4_sub105.txt",99,0.646464646464647,"105_mixed_3_298"
"105.mixed","105","mixed",3,"new_low","dot_cond4_sub105.txt",3,0.333333333333333,"105_mixed_3_298"
"105.mixed","105","mixed",3,"new_med","dot_cond4_sub105.txt",6,0.833333333333333,"105_mixed_3_298"
"105.mixed","105","mixed",3,"new_high","dot_cond4_sub105.txt",9,1,"105_mixed_3_298"
"106.low","106","low",1,"prototype","dot_cond1_sub106.txt",1,1,"106_low_1_286"
"106.low","106","low",1,"old","dot_cond1_sub106.txt",99,0.616161616161616,"106_low_1_286"
"106.low","106","low",1,"new_low","dot_cond1_sub106.txt",3,1,"106_low_1_286"
"106.low","106","low",1,"new_med","dot_cond1_sub106.txt",6,1,"106_low_1_286"
"106.low","106","low",1,"new_high","dot_cond1_sub106.txt",9,0.888888888888889,"106_low_1_286"
"106.low","106","low",2,"prototype","dot_cond1_sub106.txt",1,1,"106_low_2_291"
"106.low","106","low",2,"old","dot_cond1_sub106.txt",99,0.767676767676768,"106_low_2_291"
"106.low","106","low",2,"new_low","dot_cond1_sub106.txt",3,0.666666666666667,"106_low_2_291"
"106.low","106","low",2,"new_med","dot_cond1_sub106.txt",6,0.833333333333333,"106_low_2_291"
"106.low","106","low",2,"new_high","dot_cond1_sub106.txt",9,0.555555555555556,"106_low_2_291"
