"","phase","block","trial","itemtype","category","token","distortion","response","correct","rt","dot1x","dot1y","dot2x","dot2y","dot3x","dot3y","dot4x","dot4y","dot5x","dot5y","dot6x","dot6y","dot7x","dot7y","dot8x","dot8y","dot9x","dot9y","ID","condition"
"7829",1,2,14,1,2,14,3,2,1,1429,-6,-13,-13,12,14,-4,-13,3,0,-3,-6,1,3,5,-10,-13,-10,-3,23,3
"7830",1,2,15,1,2,18,3,2,1,682,-17,-16,-5,11,20,-10,-20,12,-3,-15,-7,8,3,5,-8,-10,-2,7,23,3
"7831",1,2,16,1,2,11,3,1,0,1547,-9,-11,-5,19,19,-5,-17,-4,-1,-6,-3,-1,5,4,-3,-18,-4,6,23,3
"7832",1,2,17,1,3,14,3,3,1,1242,3,-5,1,-3,24,11,-4,-7,3,2,19,-4,3,-13,1,1,10,3,23,3
"7833",1,2,18,1,1,14,3,1,1,1559,1,-1,9,-5,-1,13,5,15,6,-13,-3,8,-6,0,0,-10,16,-4,23,3
"7834",1,2,19,1,3,17,3,3,1,693,8,-4,-2,-6,10,6,3,-4,7,12,17,10,2,-8,-7,9,8,7,23,3
"7835",1,2,20,1,3,15,3,3,1,647,9,-4,0,-16,13,4,5,-6,11,6,19,2,-3,-6,12,-8,7,8,23,3
"7836",1,2,21,1,1,10,3,1,1,2361,1,0,6,5,0,15,-1,17,13,-17,-3,2,-14,-3,2,-3,6,-15,23,3
"7837",1,2,22,1,1,18,3,1,1,953,4,-10,8,-8,-10,7,9,11,5,-15,6,13,-1,-8,12,-1,7,-12,23,3
"7838",1,2,23,1,2,15,3,2,1,1119,1,-15,-17,16,23,-19,-23,-1,-3,-15,-15,-5,7,-5,-11,-8,-3,10,23,3
"7839",1,2,24,1,1,13,3,1,1,895,8,2,11,-2,-9,19,3,16,5,-9,-6,13,-11,-8,9,-7,8,-11,23,3
"7840",1,2,25,1,3,18,3,3,1,871,9,-4,6,-14,24,3,6,0,11,6,8,3,3,-14,-1,2,6,7,23,3
"7841",1,2,26,1,3,16,3,3,1,1409,8,-5,-11,-13,14,3,2,-8,8,7,11,3,12,-1,2,2,6,11,23,3
"7842",1,2,27,1,1,16,3,1,1,789,-2,1,5,-3,7,23,4,14,5,-22,-8,4,-6,0,5,-6,6,-14,23,3
"7843",1,3,1,1,2,22,3,2,1,674,-7,-14,-17,14,12,-15,-16,2,3,-9,-11,-9,2,4,-6,-7,-6,15,23,3
"7844",1,3,2,1,2,21,3,2,1,1011,-8,-9,-12,14,15,-9,-16,9,-5,-13,-3,1,8,1,-5,-18,2,13,23,3
"7845",1,3,3,1,1,26,3,1,1,1015,6,-3,13,-13,-3,19,5,16,3,-15,2,4,-10,3,3,-6,5,-11,23,3
"7846",1,3,4,1,3,26,3,3,1,764,12,-13,-3,-9,19,2,11,-15,14,10,5,4,2,-8,-3,1,9,4,23,3
"7847",1,3,5,1,1,27,3,2,0,762,6,-2,0,-2,-3,15,-2,17,15,-15,1,1,-15,2,5,-5,5,-9,23,3
"7848",1,3,6,1,1,19,3,1,1,1896,3,1,9,-12,-8,10,0,18,3,-13,1,3,-6,-2,10,-14,12,-11,23,3
"7849",1,3,7,1,2,27,3,2,1,809,-10,-9,-10,12,21,-11,-24,5,-5,-8,-6,2,4,6,-10,-6,-4,4,23,3
"7850",1,3,8,1,2,23,3,2,1,869,-7,-3,-13,9,15,-17,-21,12,-1,-5,-6,0,6,9,-15,-11,-1,5,23,3
"7851",1,3,9,1,1,25,3,1,1,1167,11,4,2,-9,0,15,-5,11,14,-17,2,4,-13,7,9,-7,4,-18,23,3
"7852",1,3,10,1,2,24,3,2,1,2877,-12,-12,-10,23,16,-8,-12,5,-9,-15,0,-3,-6,1,-5,-6,-3,4,23,3
"7853",1,3,11,1,3,20,3,3,1,759,11,-9,-3,-7,15,3,3,-6,19,9,11,-2,0,-8,3,0,7,11,23,3
"7854",1,3,12,1,1,20,3,1,1,790,8,-1,7,-12,-5,19,11,21,6,-14,-3,6,-3,-11,13,-11,9,-15,23,3
"7855",1,3,13,1,2,19,3,2,1,578,-7,-11,-20,18,21,-8,-18,7,-9,-14,0,-8,1,7,-8,-6,-2,7,23,3
"7856",1,3,14,1,3,23,3,3,1,1671,6,0,-11,-2,16,3,0,0,2,13,8,2,-8,-1,3,1,2,16,23,3
"7857",1,3,15,1,1,22,3,1,1,1521,3,-1,9,-3,-7,15,-1,17,8,-14,5,0,-9,8,3,-5,3,-9,23,3
"7858",1,3,16,1,2,26,3,2,1,3074,-18,-5,-7,7,16,-11,-19,2,-14,-16,-15,1,-1,4,-15,-14,-1,7,23,3
"7859",1,3,17,1,2,20,3,2,1,1508,-14,-15,-4,21,14,-9,-24,1,-9,-9,-4,-1,2,-5,-11,-12,-2,9,23,3
"7860",1,3,18,1,3,21,3,2,0,1362,15,0,-3,-8,13,4,-1,-9,9,9,7,3,-3,0,9,-9,10,7,23,3
"7861",1,3,19,1,3,25,3,3,1,1063,13,-14,-2,-9,13,4,-4,-1,16,10,19,13,0,1,2,2,5,5,23,3
"7862",1,3,20,1,1,24,3,1,1,1194,14,-5,8,-6,4,10,4,16,-3,-14,0,5,-13,-1,3,-4,10,-14,23,3
"7863",1,3,21,1,1,23,3,2,0,1687,10,-12,13,-5,2,19,4,17,8,-10,1,8,-10,-1,2,-3,12,-7,23,3
"7864",1,3,22,1,3,19,3,3,1,1024,15,-5,-4,-6,24,3,10,-1,13,8,13,0,0,-15,-1,-2,13,5,23,3
"7865",1,3,23,1,3,24,3,3,1,1861,11,-4,-4,-6,14,8,-1,-5,15,4,0,7,4,-9,1,2,9,7,23,3
"7866",1,3,24,1,1,21,3,1,1,696,5,-6,8,-7,-1,10,4,14,4,-19,2,2,-4,2,8,-3,6,-14,23,3
"7867",1,3,25,1,3,27,3,1,0,1513,6,-3,0,-11,18,-1,-8,2,4,7,4,10,2,-8,-1,5,4,2,23,3
"7868",1,3,26,1,2,25,3,2,1,1482,-6,-11,-24,22,15,-5,-23,-1,-4,-14,-6,-1,2,8,-10,-15,-4,7,23,3
"7869",1,3,27,1,3,22,3,3,1,1404,2,-10,-1,-8,19,7,6,-6,11,6,14,7,3,-7,-3,6,8,7,23,3
"7870",1,4,1,1,1,31,3,1,1,1169,4,-3,11,-4,-2,15,0,22,5,-15,-2,6,-5,-1,13,-2,9,-13,23,3
"7871",1,4,2,1,1,30,3,2,0,1934,4,-5,9,0,7,7,4,19,5,-13,-4,6,-1,2,11,-7,8,-6,23,3
"7872",1,4,3,1,2,30,3,3,0,1294,-14,-9,-19,21,16,-11,-12,8,-7,-16,-3,-1,6,4,-8,-4,-6,-3,23,3
